Frame;Sub Frame;TA_D;FIB_D;GM_D;GL_D;SOL_D;TA_I;FIB_I;GM_I;GLI;SOL_I
19;2;0.000686646;0.00476837;0.0954056;0.0755692;0.099678;0.0758362;0.075531;0.0719833;0.0973892;0.091629
19;3;-0.00232697;-0.000839233;0.0618362;0.0721359;0.0638199;0.0580597;0.0777817;0.0687027;0.0953293;0.0862122
19;4;-0.00289917;-0.00087738;0.0518036;0.0644302;0.0997162;0.0911713;0.0786591;0.0637817;0.0930023;0.08255
19;5;-0.000114441;-0.0056839;0.0839996;0.0527191;0.0906372;0.107498;0.0722504;0.0626373;0.0971603;0.0863647
19;6;0.0063324;-0.0043869;0.116615;0.049057;0.0705719;0.102272;0.0645447;0.0658798;0.0971222;0.0879669
19;7;0.00808716;0.00133514;0.133705;0.056839;0.0940323;0.0684357;0.0709152;0.067215;0.0967026;0.0847626
19;8;0.00354767;0.0122833;0.0637436;0.0632477;0.0820923;0.0622559;0.0675201;0.0695801;0.0951004;0.0850677
19;9;0.00606537;0.00705719;0.0256348;0.0651932;0.0312042;0.113564;0.0747681;0.0712204;0.0912857;0.0844574
20;0;0.00232697;-0.000114441;0.038414;0.0652313;0.0148773;0.135994;0.072937;0.0696182;0.0957108;0.0868607
20;1;0.00366211;-0.00183105;-0.00434875;0.0597;-0.00717163;0.0649643;0.0798416;0.0676346;0.10128;0.0945282
20;2;0.00888824;-0.00144958;-0.01297;0.0590515;0.016098;0.0257111;0.0831223;0.0682068;0.100174;0.0917816
20;3;0.00774384;0.00114441;0.0360107;0.0669861;0.0814056;-0.0204468;0.083847;0.0662994;0.0964737;0.0883102
20;4;0.0069046;-0.00679016;0.0617599;0.0617218;0.0808716;-0.0062561;0.0786972;0.0676727;0.102386;0.0885773
20;5;0.00675201;-0.00617981;0.0650787;0.0653458;0.0407791;0.0153351;0.0778961;0.0701523;0.101852;0.088501
20;6;-0.00305176;-0.00736237;0.0662994;0.0702667;0.0439453;0.0349808;0.0757599;0.0720978;0.10231;0.0857544
20;7;-0.00431061;-0.0124359;0.0643539;0.0712967;0.0651169;0.0459671;0.0755692;0.0779724;0.0992584;0.0825119
20;8;-0.015564;-0.0154877;0.0526428;0.0723648;0.0894165;0.0662994;0.0769424;0.0760651;0.0967789;0.083313
20;9;-0.00396729;-0.0154114;0.0630951;0.080452;0.0899887;0.107918;0.0750732;0.0698853;0.101204;0.0793076
21;0;-0.00198364;-0.00209808;0.0646973;0.0765991;0.078392;0.125198;0.0753403;0.0696182;0.101089;0.0737762
21;1;0.00102997;0.0137329;0.0651932;0.0718689;0.0717926;0.140915;0.0818634;0.0699997;0.100899;0.0715637
21;2;0.00598907;0.0161743;0.0689697;0.0740814;0.0675964;0.160599;0.0854492;0.0681686;0.0991821;0.0736618
21;3;0.0101089;0.0226974;0.0678253;0.0762558;0.0785065;0.134621;0.0761795;0.072403;0.0997162;0.0750732
21;4;0.00141144;0.0189209;0.0655746;0.0747681;0.0852585;0.0601578;0.0754166;0.0763702;0.100327;0.0773239
21;5;-0.000114441;0.0155258;0.0601578;0.0733566;0.0860214;-0.100441;0.0638199;0.0769806;0.102386;0.0855637
21;6;-0.00125885;0.0101089;0.0558853;0.0783157;0.0801849;-0.0732422;0.0473404;0.0759506;0.100822;0.0857544
21;7;-0.00389099;-0.00377655;0.0514221;0.0777054;0.0624084;0.0238419;0.0413895;0.0737381;0.102272;0.0851822
21;8;3.81E-05;-0.00938416;0.0453949;0.0647736;0.0569153;0.0525665;0.0518417;0.073204;0.102158;0.0831985
21;9;-0.000572205;-0.00110626;0.0511169;0.0640106;0.0596619;0.071907;0.0721359;0.0718307;0.105705;0.0872421
22;0;0.00427246;0.00724792;0.0453568;0.0705719;0.0641632;0.0809479;0.0666046;0.072403;0.105438;0.0848389
22;1;0.00415802;0.00717163;0.0461578;0.0798035;0.0838089;0.114136;0.0632095;0.074234;0.102997;0.0814819
22;2;0.000648499;-0.000457764;0.0408936;0.071907;0.101204;0.150986;0.0791168;0.075531;0.101433;0.0852966
22;3;-0.00087738;-0.00480652;0.0389481;0.07164;0.0704193;0.164566;0.0847244;0.0745392;0.102348;0.0826263
22;4;0.000953674;0.00465393;0.0396729;0.0688553;0.0490189;0.153313;0.0883102;0.0686264;0.1017;0.0780487
