DM: Ch1 (Dev1) [Volts],BB: Ch2 (Dev1) [Volts],ACC: Ch3 (Dev1) [Volts],ACC: Ch4 (Dev1) [g],ACC: Ch5 (Dev1) [g],ACC: Ch6 (Dev1) [g]
1.069539e-005,-4.360783e-006,3.837932e-005,2.316559e+000,1.938049e+000,1.531046e+000
7.133714e-006,-1.099845e-005,3.821742e-005,2.317369e+000,1.938535e+000,1.533637e+000
7.781291e-006,-9.055719e-006,3.805553e-005,2.317530e+000,1.936916e+000,1.536389e+000
1.717116e-005,-5.817832e-006,3.805553e-005,2.319311e+000,1.937564e+000,1.536389e+000
1.199054e-005,-2.741840e-006,3.805553e-005,2.321740e+000,1.937564e+000,1.535094e+000
1.036367e-008,-4.522677e-006,3.854121e-005,2.323359e+000,1.937078e+000,1.536065e+000
-2.184537e-005,3.086356e-006,3.854121e-005,2.324654e+000,1.937726e+000,1.536389e+000
-2.573083e-005,7.781291e-006,3.837932e-005,2.325625e+000,1.937402e+000,1.536227e+000
-1.715043e-005,6.162348e-006,3.902689e-005,2.328377e+000,1.938373e+000,1.536874e+000
-1.002708e-005,4.057722e-006,3.902689e-005,2.327892e+000,1.938535e+000,1.537036e+000
1.166676e-005,-3.134250e-007,3.886500e-005,2.327730e+000,1.937726e+000,1.536713e+000
1.263812e-005,1.305518e-006,3.918879e-005,2.329834e+000,1.939506e+000,1.538170e+000
7.133714e-006,-1.608580e-006,3.886500e-005,2.329025e+000,1.939992e+000,1.537360e+000
9.400234e-006,-1.407444e-005,3.951258e-005,2.329673e+000,1.941773e+000,1.536389e+000
8.428869e-006,-1.358876e-005,3.918879e-005,2.330644e+000,1.942259e+000,1.536713e+000
5.514771e-006,-6.789198e-006,3.918879e-005,2.329025e+000,1.940802e+000,1.538817e+000
-1.650286e-005,9.724024e-006,3.902689e-005,2.327082e+000,1.940802e+000,1.539950e+000
-2.233105e-005,1.215244e-005,3.870311e-005,2.326758e+000,1.938697e+000,1.539950e+000
-6.465409e-006,3.733933e-006,3.902689e-005,2.325140e+000,1.937726e+000,1.539627e+000
-7.922458e-006,6.579410e-007,3.902689e-005,2.325787e+000,1.939183e+000,1.542379e+000
1.134297e-005,-6.627303e-006,3.805553e-005,2.327244e+000,1.936430e+000,1.543350e+000
1.004781e-005,-1.051277e-005,3.821742e-005,2.327568e+000,1.934649e+000,1.541893e+000
8.914551e-006,-5.170255e-006,3.805553e-005,2.329834e+000,1.934649e+000,1.542703e+000
2.138041e-005,-3.389417e-006,3.854121e-005,2.331291e+000,1.934973e+000,1.543674e+000
1.814253e-005,-3.134250e-007,3.805553e-005,2.331453e+000,1.934164e+000,1.542865e+000
5.838559e-006,-3.065628e-006,3.837932e-005,2.331615e+000,1.933678e+000,1.542865e+000
-2.022643e-005,2.762567e-006,3.870311e-005,2.331130e+000,1.933354e+000,1.544807e+000
-2.459757e-005,4.381511e-006,3.902689e-005,2.330968e+000,1.930926e+000,1.545617e+000
-1.294118e-005,-1.122897e-006,3.918879e-005,2.332263e+000,1.930116e+000,1.542541e+000
-1.132224e-005,-1.284791e-006,3.902689e-005,2.330320e+000,1.929307e+000,1.543026e+000
8.914551e-006,-2.903734e-006,3.918879e-005,2.330968e+000,1.924450e+000,1.541407e+000
1.247623e-005,2.114990e-006,3.935069e-005,2.330968e+000,1.922022e+000,1.540598e+000
7.619397e-006,-4.753193e-007,3.918879e-005,2.333072e+000,1.922346e+000,1.539627e+000
8.914551e-006,-1.407444e-005,3.918879e-005,2.333882e+000,1.921374e+000,1.540112e+000
8.914551e-006,-1.180792e-005,3.951258e-005,2.334044e+000,1.920888e+000,1.539141e+000
1.953096e-006,-5.332149e-006,3.902689e-005,2.333558e+000,1.920079e+000,1.537360e+000
-2.314052e-005,1.247623e-005,3.886500e-005,2.334691e+000,1.920888e+000,1.536065e+000
-2.767356e-005,1.101918e-005,3.886500e-005,2.332587e+000,1.920403e+000,1.535741e+000
-1.407444e-005,3.086356e-006,3.951258e-005,2.333558e+000,1.921860e+000,1.536389e+000
-7.112987e-006,1.467413e-006,3.886500e-005,2.335501e+000,1.922022e+000,1.535417e+000
9.562129e-006,-5.008360e-006,3.805553e-005,2.336148e+000,1.924450e+000,1.535255e+000
4.543405e-006,-9.703296e-006,3.773174e-005,2.337120e+000,1.923479e+000,1.536713e+000
8.428869e-006,-5.979726e-006,3.870311e-005,2.338577e+000,1.922346e+000,1.538817e+000
1.911389e-005,-1.608580e-006,3.821742e-005,2.338577e+000,1.922831e+000,1.535741e+000
1.814253e-005,2.924462e-006,3.805553e-005,2.337281e+000,1.923641e+000,1.534122e+000
1.134297e-005,8.198353e-007,3.821742e-005,2.337120e+000,1.924288e+000,1.536874e+000
-1.812180e-005,5.190982e-006,3.854121e-005,2.338091e+000,1.926231e+000,1.539141e+000
-2.119779e-005,6.648031e-006,3.902689e-005,2.339386e+000,1.926879e+000,1.540922e+000
-1.488391e-005,9.817296e-007,3.886500e-005,2.338901e+000,1.926879e+000,1.541407e+000
-1.245550e-005,2.114990e-006,3.918879e-005,2.338253e+000,1.928983e+000,1.542703e+000
8.105080e-006,-2.418051e-006,3.951258e-005,2.335824e+000,1.930764e+000,1.543188e+000
9.562129e-006,2.438779e-006,3.918879e-005,2.334529e+000,1.933354e+000,1.541893e+000
6.324242e-006,-4.846466e-006,3.886500e-005,2.331777e+000,1.934973e+000,1.540598e+000
