Frame,Sub Frame,RF,BF,MG,LG,AT
68,2,-0.033493,0.00663757,-0.0840759,0.167465,0.0677109
68,3,-0.00694275,0.00812531,-0.115967,0.149765,0.0653458
68,4,0.00957489,0.0107193,-0.0575638,0.0798798,0.0702286
69,0,0.0242615,0.00827789,-0.0753403,0.0214767,0.0740433
69,1,0.0315857,0.00827789,0.0165939,-0.0704956,0.073204
69,2,0.0315475,0.00904083,0.113907,-0.200348,0.0661469
69,3,0.0458908,0.00358582,0.0923157,-0.0996399,0.0562668
69,4,0.0510406,0.0050354,0.11776,0.11158,0.0600815
70,0,0.0390244,0.00293732,0.143738,0.168076,0.0720215
70,1,0.0109482,0.00244141,0.056572,0.169716,0.0793457
70,2,-0.0204468,0.00171661,0.0915146,0.119209,0.0697327
70,3,-0.0381851,-0.000495911,-0.000343323,0.0995255,0.0585556
70,4,-0.0753021,-0.00320435,0.00919342,0.0660706,0.0578308
71,0,-0.084877,-0.00392914,0.0448608,0.0737,0.0522232
71,1,-0.0395966,-0.00461578,0.0219345,0.068779,0.051918
71,2,0.017128,-0.00228882,0.0777817,0.0475311,0.0629425
71,3,0.0615311,0.000724792,0.0662994,0.0648499,0.0669098
71,4,0.0606155,-0.00621796,0.083847,0.0686264,0.0712204
72,0,0.0486755,-0.00717163,0.104294,0.0758362,0.0760651
72,1,0.0490952,-0.00518799,0.101547,0.0928116,0.0778961
72,2,0.0315094,-0.0025177,0.142441,0.0466537,0.0706482
72,3,0.00961304,-0.00148773,0.24456,0.037117,0.0605011
72,4,0.00247955,-0.000267029,0.216599,-0.0188446,0.0589752
73,0,0.0264359,0.000190735,0.201492,-0.0138474,0.0548172
73,1,0.0497055,0.00102997,0.0591278,0.0497437,0.0588989
73,2,0.0302887,3.81E-05,-0.235558,0.102844,0.069313
73,3,-0.00835419,-0.00293732,-0.270882,0.141487,0.0797272
73,4,-0.0563812,-0.0018692,-0.0273514,0.089035,0.0802231
74,0,-0.12043,0.00141144,0.112343,0.0145721,0.0725174
74,1,-0.102921,-0.0037384,0.0666046,-0.0371552,0.0609589
74,2,-0.0505066,-0.00598907,-0.0165558,-0.00278473,0.0548553
74,3,0.000419617,-0.00114441,-0.138626,0.0580597,0.0685883
74,4,0.0121307,0.00133514,-0.186882,0.0588608,0.0756073
75,0,0.00953674,-0.00102997,-0.0258636,0.0838089,0.0762939
75,1,0.0206375,-0.000648499,0.0368881,0.109634,0.0697327
75,2,0.0304413,0.00911713,0.22728,0.152054,0.0583649
75,3,0.0260544,0.00827789,0.422249,0.141602,0.0431824
75,4,0.0187683,0.00549316,0.23098,0.125008,0.0484467
76,0,0.00247955,-0.000114441,0.162659,0.0818253,0.0559235
76,1,-0.0153732,0.00408173,0.0252533,0.0615311,0.060997
76,2,-0.0448608,0.00461578,-0.0143433,0.0662994,0.0706482
76,3,-0.0487137,-0.000572205,0.052681,0.0656891,0.0780106
76,4,-0.0291443,0.0030899,0.00343323,0.0521088,0.0724411
77,0,-0.0270844,0.0044632,0.024147,0.0932693,0.0691223
77,1,-0.0376129,0.00183105,0.0556183,0.0679779,0.0656128
77,2,-0.0514603,-0.00225067,0.0535583,-0.00804901,0.0408173
77,3,-0.0365067,-0.0030899,0.0752258,0.0630569,0.045166
77,4,-0.0349426,-0.00110626,0.149269,0.0505447,0.0628281
78,0,-0.01091,-0.00389099,0.149269,0.0166702,0.0763321
78,1,0.0590134,-0.00125885,0.0914764,0.0757599,0.0878143
78,2,0.0911713,0.00450134,0.105782,0.169144,0.0710678
78,3,0.130157,0.000572205,0.0551605,0.103035,0.0552368
78,4,0.151443,-0.00362396,0.103455,0.0310516,0.0627136
79,0,0.160904,-0.00236511,0.0492859,-0.0492477,0.0780487
79,1,0.12291,-0.00289917,-0.0614548,-0.0617981,0.0794983
79,2,0.0286102,0.000991821,-0.00946045,0.0814438,0.0848389
79,3,-0.087471,0.00144958,-0.0362778,0.140686,0.0831604
79,4,-0.139847,-0.00324249,-0.0930786,0.138168,0.0867462
80,0,-0.0959396,-0.00507355,0.0715637,0.119362,0.100021
80,1,-0.0455093,-0.00293732,0.0608826,0.0755692,0.0958252
80,2,-0.00572205,-0.00343323,0.076561,0.101814,0.0829315
80,3,0.0180054,-0.000762939,0.10437,0.198021,0.0782776
80,4,0.0175476,0.00488281,0.170441,0.240364,0.0679016
81,0,0.0107193,0.0127029,0.222664,0.0555801,0.0819016
81,1,0.00469208,0.00839233,0.0668716,-0.178566,0.0878143
