Frame;Sub Frame;LAX;LAY;LAZ;LHX;LHY;LHZ;LKX;LKY;LKZ;RAX;RAY;RAZ;RHX;RHY;RHZ;RKX;RKY;RKZ
90;0;13.5007;-10.0259;30.1;-5.83377;4.6526;-11.7724;5.01962;-1.6332;-21.1015;1.47765;-5.32562;19.1902;28.4932;3.50918;-15.7219;4.23464;-3.79927;-13.1275
91;0;13.8555;-10.0808;30.2309;-6.1679;4.68993;-11.7504;5.12827;-1.63756;-21.0448;1.67169;-5.20829;18.8042;28.4902;3.62962;-15.4435;3.92782;-3.80281;-13.0796
92;0;14.1835;-10.1383;30.3676;-6.50624;4.70841;-11.7223;5.24507;-1.65173;-20.9895;1.84845;-5.02181;18.1869;28.4541;3.7778;-15.1901;3.87727;-3.8327;-12.9359
93;0;14.4817;-10.1994;30.5128;-6.84848;4.70625;-11.692;5.37102;-1.67651;-20.9378;1.99277;-4.79128;17.4175;28.3893;3.94452;-14.9718;4.05196;-3.87802;-12.7066
94;0;14.748;-10.2645;30.6666;-7.19379;4.68211;-11.6651;5.50795;-1.71317;-20.8879;2.0868;-4.54447;16.5862;28.3035;4.11671;-14.7954;4.41408;-3.92591;-12.4148
95;0;14.9795;-10.3355;30.8339;-7.54182;4.63438;-11.6469;5.65766;-1.76255;-20.8419;2.11076;-4.30732;15.7804;28.2047;4.28097;-14.6663;4.92168;-3.96599;-12.0806
96;0;15.1743;-10.413;31.0158;-7.89113;4.56224;-11.6434;5.82383;-1.82548;-20.7967;2.04439;-4.10221;15.078;28.1018;4.42332;-14.5847;5.53149;-3.989;-11.732
97;0;15.3302;-10.499;31.2167;-8.23968;4.46356;-11.6579;6.01106;-1.90148;-20.7548;1.87013;-3.94325;14.5303;28.0015;4.53353;-14.5464;6.20106;-3.98895;-11.3898
98;0;15.4451;-10.5945;31.4387;-8.58477;4.33739;-11.6935;6.22515;-1.99062;-20.7157;1.57598;-3.83591;14.1588;27.906;4.60488;-14.5424;6.89056;-3.9621;-11.07
99;0;15.516;-10.7005;31.6839;-8.92228;4.18251;-11.7526;6.4739;-2.0931;-20.6764;1.16012;-3.77577;13.9501;27.8132;4.63805;-14.5572;7.56608;-3.90983;-10.7794
100;0;15.5388;-10.818;31.9542;-9.24769;3.99737;-11.8357;6.7659;-2.20766;-20.6372;0.631955;-3.74953;13.859;27.7149;4.63965;-14.5702;8.20003;-3.83441;-10.5159
101;0;15.5072;-10.9471;32.2491;-9.55533;3.78126;-11.9386;7.11136;-2.33383;-20.5971;0.0119176;-3.73831;13.82;27.5982;4.62162;-14.5593;8.77057;-3.74093;-10.2692
102;0;15.4131;-11.088;32.5686;-9.83819;3.53422;-12.0596;7.52185;-2.47099;-20.5538;-0.667703;-3.72027;13.7572;27.4486;4.60035;-14.5041;9.26562;-3.63618;-10.0207
103;0;15.244;-11.2399;32.9104;-10.0892;3.25578;-12.1924;8.0091;-2.61823;-20.5059;-1.3681;-3.67587;13.6027;27.2495;4.59357;-14.3884;9.6782;-3.52706;-9.75112
104;0;14.9854;-11.4014;33.2708;-10.2987;2.94598;-12.3331;8.58715;-2.77367;-20.4497;-2.04746;-3.59163;13.3088;26.9884;4.61722;-14.2026;10.0093;-3.42001;-9.44707
105;0;14.6169;-11.5714;33.6467;-10.4586;2.60563;-12.476;9.26802;-2.93638;-20.383;-2.66511;-3.46057;12.8502;26.6547;4.68458;-13.9495;10.265;-3.32132;-9.09357
106;0;14.1148;-11.7455;34.028;-10.5592;2.23601;-12.6154;10.0649;-3.10476;-20.3003;-3.18884;-3.28618;12.2372;26.2438;4.8027;-13.6388;10.4543;-3.23429;-8.69439
107;0;13.4511;-11.922;34.4108;-10.5917;1.83986;-12.7465;10.9885;-3.27748;-20.2;-3.59474;-3.07781;11.5009;25.7565;4.97131;-13.2908;10.5897;-3.1602;-8.25559
108;0;12.5934;-12.0957;34.7841;-10.5471;1.41887;-12.8671;12.0488;-3.45231;-20.076;-3.87122;-2.85147;10.6965;25.1986;5.18535;-12.9314;10.6828;-3.09859;-7.79704
109;0;11.5077;-12.2629;35.1399;-10.4178;0.977409;-12.9756;13.2529;-3.6288;-19.9257;-4.01698;-2.62397;9.88361;24.5803;5.43337;-12.5902;10.7447;-3.04638;-7.33961
110;0;10.1603;-12.416;35.4629;-10.1963;0.519082;-13.0717;14.6074;-3.80633;-19.7432;-4.0399;-2.41314;9.12649;23.9148;5.70101;-12.2947;10.7849;-2.99868;-6.9116
111;0;8.51729;-12.5487;35.7404;-9.87735;0.0492128;-13.157;16.1137;-3.98582;-19.5271;-3.95346;-2.23362;8.47912;23.2172;5.97232;-12.0698;10.8104;-2.95111;-6.53595
112;0;6.55173;-12.6498;35.9504;-9.45629;-0.426962;-13.2333;17.7729;-4.16842;-19.2732;-3.77444;-2.09564;7.98003;22.5008;6.23182;-11.9337;10.825;-2.89903;-6.229
113;0;4.24896;-12.7083;36.0716;-8.93076;-0.903005;-13.3046;19.5811;-4.35802;-18.9802;-3.52235;-2.00648;7.65684;21.7776;6.46718;-11.8948;10.8298;-2.83997;-6.00596
